City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,Vila Franca Do Campo,37.7167,-25.4333,72.19,72,62,11.83,PT,2021-11-17 17:27:11
156,Maningrida,-12.0667,134.2667,80.24,48,99,6.2,AU,2021-11-17 17:27:11
157,Mandali,33.7499,45.5541,67.91,28,0,8.03,IQ,2021-11-17 17:27:12
158,Mar Del Plata,-38.0023,-57.5575,68.02,70,0,11.99,AR,2021-11-17 17:27:12
159,Severo-Kurilsk,50.6789,156.125,32.56,75,81,10.42,RU,2021-11-17 17:27:12
160,Hasaki,35.7333,140.8333,46.8,56,74,9.13,JP,2021-11-17 17:27:12
161,Srednekolymsk,67.45,153.6833,-12.91,100,95,2.3,RU,2021-11-17 17:27:13
162,Victoria,22.2855,114.1577,72.32,77,5,7.0,HK,2021-11-17 17:23:06
163,Korla,41.7597,86.1469,34.88,40,25,2.57,CN,2021-11-17 17:27:13
164,Rehoboth,-23.3167,17.0833,84.7,14,20,21.36,NA,2021-11-17 17:27:13
165,Port-Gentil,-0.7193,8.7815,80.56,83,40,11.5,GA,2021-11-17 17:27:14
166,Jalu,29.0331,21.5482,71.62,34,19,7.92,LY,2021-11-17 17:27:14
167,Faya,18.3851,42.4509,62.71,53,7,2.21,SA,2021-11-17 17:27:14
168,Coquimbo,-29.9533,-71.3436,62.33,67,75,12.66,CL,2021-11-17 17:23:38
169,Pacific Grove,36.6177,-121.9166,63.39,88,1,1.99,US,2021-11-17 17:27:15
170,Tigre,-34.426,-58.5796,71.06,30,0,5.75,AR,2021-11-17 17:27:15
171,Aswan,24.0934,32.907,82.26,26,27,9.28,EG,2021-11-17 17:27:15
172,Atig,56.6931,59.4227,4.55,95,20,5.82,RU,2021-11-17 17:27:15
173,Westport,41.1415,-73.3579,55.27,54,75,1.01,US,2021-11-17 17:27:16
174,Wajir,1.7471,40.0573,87.76,51,20,0.0,KE,2021-11-17 17:27:16
175,Bonthe,7.5264,-12.505,83.71,70,74,9.51,SL,2021-11-17 17:27:16
176,Kaeo,-35.1,173.7833,53.33,90,80,4.68,NZ,2021-11-17 17:27:17
177,Norman Wells,65.282,-126.8329,-0.36,85,90,5.75,CA,2021-11-17 17:27:17
178,Gimli,50.6336,-96.9907,30.22,86,100,13.8,CA,2021-11-17 17:27:17
179,Moroni,-11.7022,43.2551,80.6,69,20,4.61,KM,2021-11-17 17:27:17
180,Severinia,-20.8094,-48.8028,89.06,53,84,10.0,BR,2021-11-17 17:27:18
181,Hofn,64.2539,-15.2082,30.22,55,0,3.44,IS,2021-11-17 17:27:18
182,Cerrik,41.0317,19.9758,56.75,64,100,1.41,AL,2021-11-17 17:27:18
183,Cherskiy,68.75,161.3,4.71,85,11,6.29,RU,2021-11-17 17:28:18
184,Nhulunbuy,-12.2333,136.7667,77.61,83,87,3.44,AU,2021-11-17 17:28:19
185,Raudeberg,61.9875,5.1352,41.67,66,100,25.57,NO,2021-11-17 17:28:19
186,Olinda,-8.0089,-34.8553,83.61,61,93,14.41,BR,2021-11-17 17:28:19
187,Abonnema,4.7084,6.7931,82.53,76,85,6.98,NG,2021-11-17 17:28:19
188,Puerto Ayora,-0.7393,-90.3518,73.36,72,62,10.51,EC,2021-11-17 17:28:20
